１．ワイシャツ    ワイシャツをきる     ワイシャツをかう        ワイシャツをあらう
１６８．ハンカチ      ハンカチを持っています　　　ハンカチを忘れました（わすれました）　ハンカチを買いました（かいました）
１６９．起きる（おきる）まい朝　ろくじに起きる（おきる）　早くおきたい（はやく）        彼はなかなか起きない（おきない）
１７０．ナイフ       ナイフでパンを切る（きる） 　ナイフをとぐ         　　ナイフを持っている（もっている）
１７１．いつも       いつもありがとう          いつも元気です         　いつも一緒にいる
１７２．無くす（なくす）    鍵をなくした（かぎをなくした）　　お金をなくす   友達を無くす（ともだちをなくす）
１７３．寝る（ねる）  今晩は早く寝る（はやくねる）　彼はもう寝た（かれもうねた）   寝る前に本を読む（ほんをよむ）
１７４．辛い（つらい）　仕事がつらい（しごとがつらい）　勉強が辛い         練習がつらい（れんしゅう）
１７５．つまらない     この映画はつまらない    彼の話はつまらない       つまらない休日だ（きゅうじつだ）
１７６．賑やか（にぎやか）　祭りはにぎやかです（まつり）      この店はいつもいぎやか       にぎやかな街に住む（すむ）
１７７．明るい（あかるい）　部屋が明るい        彼女は明るい人だ        明るい色が好き
１７８．冷たい（つめたい）　水が冷たい         風が冷たい           つめたいアイスクリーム
１７９．静か（しずか）     静かな部屋（しずかなへや）   静かにして    静かな夜
１８０．重い（おもい）　荷物が重い（にもつ）    彼はおもい病気だ（びょうき）    この本はおもい
１８１．くらい        部屋がくらい          夜はくらい               暗い道
１８２．好き          いぬがすきです        彼は映画が好きです       　わたしは寿司が好きです
１８３．疲れる（つかれる） しごとで疲れた      運動で疲れる           　勉強で疲れた
１８４．悪い（わるい） 　彼は悪い人です    　　悪い天気ですね           悪い考えを捨てる（かんがえをすてる）
１８５．まずい         このりょうりはまずい  彼の作ったケーキはまずかった　まずいコーヒーをのんだ
１８６．大好き         彼は寿司が大好きです　　私の猫がだいすきです      彼女は映画が大好きです
１８７．熱い          コーヒーが熱い         夏は暑いです            熱い風呂が好きです
１８８．弱い（よわい）　彼は弱いです          このはしは弱い           彼女は弱い子供です
１８９．元気（げんき）　元気ですが           元気がない               元気を出して（だして）
１９０．大切（たいせつ）家族は大切です     　　友達と大切な時間          健康は大切だ（けんこうはたいせつだ）
１９１．死ぬ（しぬ）  　彼は病気で死んだ      猫が道路で死んだ          彼女はおいて死ぬ
１９２．困る（こまる） 　困ったことがある     彼は困っている            どうしたらいい？困る
１９３．大丈夫（だいじょうぶ）　だいじょうぶですか？　大丈夫、行けます     これはだいじょうぶです
１９４．痛い（いたい）　頭が痛い（あたま）　　足がいたい（あし）        　腹がいたい（はらがいたい）
１９５．嫌い（きらい）　彼は野菜が嫌いです   　私は勉強がきらいです　　　　彼女は猫が嫌いです
１９６．忘れる（わすれる）名前を忘れる        鍵を忘れる               約束を忘れないで
１９７．うるさい       電車がうるさい      隣の部屋がうるさい       　　子供たちがうるさい
１９８．危ない（あぶない）この道はあぶない   危ない橋を渡る（あぶないはしをわたる）　かれは危ない運転をする
１９９．暖かい（あたたかい）  きょうはあたたかいです コーヒーがあたたかいです       へやがあたたかいです
２００．ぬるい       コーヒーがぬるい      ぬるいお風呂（おふろ）     　ぬるいスープ
２０１．楽しい       えいがはたのしかった   たのしいパーティーです      たのしい休日（きゅうじつ）を過ごす（すごす）
２０２．消える（きえる） 煙が消えた（けむり）　かれは消えた              雲がきえる（くもがきえる）
２０３．登る（のぼる） やまを登る       　　階段を登る                 きを登る
２０４．泳ぐ（およぐ）　彼は泳ぎます        わたしはプールで泳ぐ        なつにうみで泳ぐ
２０５．古い（ふるい）　古い家             ふるいほん                古い橋
２０６．遠い（とおい） 家が遠いです      　　駅は遠い                  遠い国
